127.0.0.1 - - [14/Oct/2023:19:01:43 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Oct/2023:19:01:53 +0800] "GET /mycart/ HTTP/1.1" 200 8910
0:0:0:0:0:0:0:1 - - [14/Oct/2023:19:01:53 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Oct/2023:19:02:15 +0800] "GET /mycart/checkout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:19:02:15 +0800] "GET /mycart/login.jsp HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [14/Oct/2023:19:18:48 +0800] "GET /mycart/login.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [14/Oct/2023:19:19:19 +0800] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:19:19:19 +0800] "GET /mycart/index.jsp HTTP/1.1" 200 8904
0:0:0:0:0:0:0:1 - - [14/Oct/2023:19:19:29 +0800] "GET /mycart/checkout.jsp HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [14/Oct/2023:19:32:20 +0800] "GET /mycart/index.jsp HTTP/1.1" 200 8904
0:0:0:0:0:0:0:1 - - [14/Oct/2023:19:39:02 +0800] "GET /mycart/CheckOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:19:39:02 +0800] "GET /mycart/index.jsp HTTP/1.1" 200 9195
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:24:43 +0800] "GET /mycart/checkout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:24:43 +0800] "GET /mycart/login.jsp HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:24:53 +0800] "GET /mycart/login.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:05:34 +0800] "GET /mycart/login.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:06:04 +0800] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:06:04 +0800] "GET /mycart/index.jsp HTTP/1.1" 200 8904
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:20:23 +0800] "GET /mycart/normal.jsp HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:23:13 +0800] "GET /mycart/index.jsp?category=4162 HTTP/1.1" 200 6639
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:23:15 +0800] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 8904
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:51:57 +0800] "GET /mycart/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:51:57 +0800] "GET /mycart/login.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:52:17 +0800] "GET /mycart/ HTTP/1.1" 200 8910
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:52:18 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:53:50 +0800] "GET /mycart/checkout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:53:50 +0800] "GET /mycart/login.jsp HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:54:54 +0800] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:54:54 +0800] "GET /mycart/index.jsp HTTP/1.1" 200 8904
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:54:58 +0800] "GET /mycart/checkout.jsp HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:55:18 +0800] "GET /mycart/CheckOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:23:55:18 +0800] "GET /mycart/index.jsp HTTP/1.1" 200 9195
